Frame 0
Iteration 294: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 295: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 296: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 297: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 298: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 299: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 300: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 301: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 302: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 303: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 304: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 305: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 306: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 307: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 308: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 309: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 310: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 311: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 312: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 313: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 314: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 315: Reprojection Error: 0.1824, Photometric Error: 0.2041
Iteration 316: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 317: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 318: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 319: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 320: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 321: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 322: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 323: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 324: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 325: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 326: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 327: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 328: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 329: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 330: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 331: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 332: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 333: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 334: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 335: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 336: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 337: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 338: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 339: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 340: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 341: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 342: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 343: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 344: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 345: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 346: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 347: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 348: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 349: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 350: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 351: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 352: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 353: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 354: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 355: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 356: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 357: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 358: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 359: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 360: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 361: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 362: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 363: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 364: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 365: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 366: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 367: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 368: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 369: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 370: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 371: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 372: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 373: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 374: Reprojection Error: 0.1825, Photometric Error: 0.2041
Iteration 375: Reprojection Error: 0.1825, Photometric Error: 0.2041
