Frame 0
Iteration 222: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 223: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 224: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 225: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 226: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 227: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 228: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 229: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 230: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 231: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 232: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 233: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 234: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 235: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 236: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 237: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 238: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 239: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 240: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 241: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 242: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 243: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 244: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 245: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 246: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 247: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 248: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 249: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 250: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 251: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 252: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 253: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 254: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 255: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 256: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 257: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 258: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 259: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 260: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 261: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 262: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 263: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 264: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 265: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 266: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 267: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 268: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 269: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 270: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 271: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 272: Reprojection Error: 0.0770, Photometric Error: 0.0673
